,County,Population
0,".Autauga County, Alabama",55869
1,".Baldwin County, Alabama",223234
2,".Barbour County, Alabama",24686
3,".Bibb County, Alabama",22394
4,".Blount County, Alabama",57826
5,".Bullock County, Alabama",10101
6,".Butler County, Alabama",19448
7,".Calhoun County, Alabama",113605
8,".Chambers County, Alabama",33254
9,".Cherokee County, Alabama",26196
10,".Chilton County, Alabama",44428
11,".Choctaw County, Alabama",12589
12,".Clarke County, Alabama",23622
13,".Clay County, Alabama",13235
14,".Cleburne County, Alabama",14910
15,".Coffee County, Alabama",52342
16,".Colbert County, Alabama",55241
17,".Conecuh County, Alabama",12067
18,".Coosa County, Alabama",10663
19,".Covington County, Alabama",37049
20,".Crenshaw County, Alabama",13772
21,".Cullman County, Alabama",83768
22,".Dale County, Alabama",49172
23,".Dallas County, Alabama",37196
24,".DeKalb County, Alabama",71513
25,".Elmore County, Alabama",81209
26,".Escambia County, Alabama",36633
27,".Etowah County, Alabama",102268
28,".Fayette County, Alabama",16302
29,".Franklin County, Alabama",31362
30,".Geneva County, Alabama",26271
31,".Greene County, Alabama",8111
32,".Hale County, Alabama",14651
33,".Henry County, Alabama",17205
34,".Houston County, Alabama",105882
35,".Jackson County, Alabama",51626
36,".Jefferson County, Alabama",658573
37,".Lamar County, Alabama",13805
38,".Lauderdale County, Alabama",92729
39,".Lawrence County, Alabama",32924
40,".Lee County, Alabama",164542
41,".Limestone County, Alabama",98915
42,".Lowndes County, Alabama",9726
43,".Macon County, Alabama",18068
44,".Madison County, Alabama",372909
45,".Marengo County, Alabama",18863
46,".Marion County, Alabama",29709
47,".Marshall County, Alabama",96774
48,".Mobile County, Alabama",413210
49,".Monroe County, Alabama",20733
50,".Montgomery County, Alabama",226486
51,".Morgan County, Alabama",119679
52,".Perry County, Alabama",8923
53,".Pickens County, Alabama",19930
54,".Pike County, Alabama",33114
55,".Randolph County, Alabama",22722
56,".Russell County, Alabama",57961
57,".St. Clair County, Alabama",89512
58,".Shelby County, Alabama",217702
59,".Sumter County, Alabama",12427
60,".Talladega County, Alabama",79978
61,".Tallapoosa County, Alabama",40367
62,".Tuscaloosa County, Alabama",209355
63,".Walker County, Alabama",63521
64,".Washington County, Alabama",16326
65,".Wilcox County, Alabama",10373
66,".Winston County, Alabama",23629
67,".Aleutians East Borough, Alaska",3337
68,".Aleutians West Census Area, Alaska",5634
69,".Anchorage Municipality, Alaska",288000
70,".Bethel Census Area, Alaska",18386
71,".Bristol Bay Borough, Alaska",836
72,".Denali Borough, Alaska",2097
73,".Dillingham Census Area, Alaska",4916
74,".Fairbanks North Star Borough, Alaska",96849
75,".Haines Borough, Alaska",2530
76,".Hoonah-Angoon Census Area, Alaska",2148
77,".Juneau City and Borough, Alaska",31974
78,".Kenai Peninsula Borough, Alaska",58708
79,".Ketchikan Gateway Borough, Alaska",13901
80,".Kodiak Island Borough, Alaska",12998
81,".Kusilvak Census Area, Alaska",8314
82,".Lake and Peninsula Borough, Alaska",1592
83,".Matanuska-Susitna Borough, Alaska",108317
84,".Nome Census Area, Alaska",10004
85,".North Slope Borough, Alaska",9832
86,".Northwest Arctic Borough, Alaska",7621
87,".Petersburg Borough, Alaska",3266
88,".Prince of Wales-Hyder Census Area, Alaska",6203
89,".Sitka City and Borough, Alaska",8493
90,".Skagway Municipality, Alaska",1183
91,".Southeast Fairbanks Census Area, Alaska",6893
92,".Valdez-Cordova Census Area, Alaska",9202
93,".Wrangell City and Borough, Alaska",2502
94,".Yakutat City and Borough, Alaska",579
95,".Yukon-Koyukuk Census Area, Alaska",5230
96,".Apache County, Arizona",71887
97,".Cochise County, Arizona",125922
98,".Coconino County, Arizona",143476
99,".Gila County, Arizona",54018
100,".Graham County, Arizona",38837
101,".Greenlee County, Arizona",9498
102,".La Paz County, Arizona",21108
103,".Maricopa County, Arizona",4485414
104,".Mohave County, Arizona",212181
105,".Navajo County, Arizona",110924
106,".Pima County, Arizona",1047279
107,".Pinal County, Arizona",462789
108,".Santa Cruz County, Arizona",46498
109,".Yavapai County, Arizona",235099
110,".Yuma County, Arizona",213787
111,".Arkansas County, Arkansas",17486
112,".Ashley County, Arkansas",19657
113,".Baxter County, Arkansas",41932
114,".Benton County, Arkansas",279141
115,".Boone County, Arkansas",37432
116,".Bradley County, Arkansas",10763
117,".Calhoun County, Arkansas",5189
118,".Carroll County, Arkansas",28380
119,".Chicot County, Arkansas",10118
120,".Clark County, Arkansas",22320
121,".Clay County, Arkansas",14551
122,".Cleburne County, Arkansas",24919
123,".Cleveland County, Arkansas",7956
124,".Columbia County, Arkansas",23457
125,".Conway County, Arkansas",20846
126,".Craighead County, Arkansas",110332
127,".Crawford County, Arkansas",63257
128,".Crittenden County, Arkansas",47955
129,".Cross County, Arkansas",16419
130,".Dallas County, Arkansas",7009
131,".Desha County, Arkansas",11361
132,".Drew County, Arkansas",18219
133,".Faulkner County, Arkansas",126007
134,".Franklin County, Arkansas",17715
135,".Fulton County, Arkansas",12477
136,".Garland County, Arkansas",99386
137,".Grant County, Arkansas",18265
138,".Greene County, Arkansas",45325
139,".Hempstead County, Arkansas",21532
140,".Hot Spring County, Arkansas",33771
141,".Howard County, Arkansas",13202
142,".Independence County, Arkansas",37825
143,".Izard County, Arkansas",13629
144,".Jackson County, Arkansas",16719
145,".Jefferson County, Arkansas",66824
146,".Johnson County, Arkansas",26578
147,".Lafayette County, Arkansas",6624
148,".Lawrence County, Arkansas",16406
149,".Lee County, Arkansas",8857
150,".Lincoln County, Arkansas",13024
151,".Little River County, Arkansas",12259
152,".Logan County, Arkansas",21466
153,".Lonoke County, Arkansas",73309
154,".Madison County, Arkansas",16576
155,".Marion County, Arkansas",16694
156,".Miller County, Arkansas",43257
157,".Mississippi County, Arkansas",40651
158,".Monroe County, Arkansas",6701
159,".Montgomery County, Arkansas",8986
160,".Nevada County, Arkansas",8252
161,".Newton County, Arkansas",7753
162,".Ouachita County, Arkansas",23382
163,".Perry County, Arkansas",10455
164,".Phillips County, Arkansas",17782
165,".Pike County, Arkansas",10718
166,".Poinsett County, Arkansas",23528
167,".Polk County, Arkansas",19964
168,".Pope County, Arkansas",64072
169,".Prairie County, Arkansas",8062
170,".Pulaski County, Arkansas",391911
171,".Randolph County, Arkansas",17958
172,".St. Francis County, Arkansas",24994
173,".Saline County, Arkansas",122437
174,".Scott County, Arkansas",10281
175,".Searcy County, Arkansas",7881
176,".Sebastian County, Arkansas",127827
177,".Sevier County, Arkansas",17007
178,".Sharp County, Arkansas",17442
179,".Stone County, Arkansas",12506
180,".Union County, Arkansas",38682
181,".Van Buren County, Arkansas",16545
182,".Washington County, Arkansas",239187
183,".White County, Arkansas",78753
184,".Woodruff County, Arkansas",6320
185,".Yell County, Arkansas",21341
186,".Alameda County, California",1671329
187,".Alpine County, California",1129
188,".Amador County, California",39752
189,".Butte County, California",219186
190,".Calaveras County, California",45905
191,".Colusa County, California",21547
192,".Contra Costa County, California",1153526
193,".Del Norte County, California",27812
194,".El Dorado County, California",192843
195,".Fresno County, California",999101
196,".Glenn County, California",28393
197,".Humboldt County, California",135558
198,".Imperial County, California",181215
199,".Inyo County, California",18039
200,".Kern County, California",900202
201,".Kings County, California",152940
202,".Lake County, California",64386
203,".Lassen County, California",30573
204,".Los Angeles County, California",10039107
205,".Madera County, California",157327
206,".Marin County, California",258826
207,".Mariposa County, California",17203
208,".Mendocino County, California",86749
209,".Merced County, California",277680
210,".Modoc County, California",8841
211,".Mono County, California",14444
212,".Monterey County, California",434061
213,".Napa County, California",137744
214,".Nevada County, California",99755
215,".Orange County, California",3175692
216,".Placer County, California",398329
217,".Plumas County, California",18807
218,".Riverside County, California",2470546
219,".Sacramento County, California",1552058
220,".San Benito County, California",62808
221,".San Bernardino County, California",2180085
222,".San Diego County, California",3338330
223,".San Francisco County, California",881549
224,".San Joaquin County, California",762148
225,".San Luis Obispo County, California",283111
226,".San Mateo County, California",766573
227,".Santa Barbara County, California",446499
228,".Santa Clara County, California",1927852
229,".Santa Cruz County, California",273213
230,".Shasta County, California",180080
231,".Sierra County, California",3005
232,".Siskiyou County, California",43539
233,".Solano County, California",447643
234,".Sonoma County, California",494336
235,".Stanislaus County, California",550660
236,".Sutter County, California",96971
237,".Tehama County, California",65084
238,".Trinity County, California",12285
239,".Tulare County, California",466195
240,".Tuolumne County, California",54478
241,".Ventura County, California",846006
242,".Yolo County, California",220500
243,".Yuba County, California",78668
244,".Adams County, Colorado",517421
245,".Alamosa County, Colorado",16233
246,".Arapahoe County, Colorado",656590
247,".Archuleta County, Colorado",14029
248,".Baca County, Colorado",3581
249,".Bent County, Colorado",5577
250,".Boulder County, Colorado",326196
251,".Broomfield County, Colorado",70465
252,".Chaffee County, Colorado",20356
253,".Cheyenne County, Colorado",1831
254,".Clear Creek County, Colorado",9700
255,".Conejos County, Colorado",8205
256,".Costilla County, Colorado",3887
257,".Crowley County, Colorado",6061
258,".Custer County, Colorado",5068
259,".Delta County, Colorado",31162
260,".Denver County, Colorado",727211
261,".Dolores County, Colorado",2055
262,".Douglas County, Colorado",351154
263,".Eagle County, Colorado",55127
264,".Elbert County, Colorado",26729
265,".El Paso County, Colorado",720403
266,".Fremont County, Colorado",47839
267,".Garfield County, Colorado",60061
268,".Gilpin County, Colorado",6243
269,".Grand County, Colorado",15734
270,".Gunnison County, Colorado",17462
271,".Hinsdale County, Colorado",820
272,".Huerfano County, Colorado",6897
273,".Jackson County, Colorado",1392
274,".Jefferson County, Colorado",582881
275,".Kiowa County, Colorado",1406
276,".Kit Carson County, Colorado",7097
277,".Lake County, Colorado",8127
278,".La Plata County, Colorado",56221
279,".Larimer County, Colorado",356899
280,".Las Animas County, Colorado",14506
281,".Lincoln County, Colorado",5701
282,".Logan County, Colorado",22409
283,".Mesa County, Colorado",154210
284,".Mineral County, Colorado",769
285,".Moffat County, Colorado",13283
286,".Montezuma County, Colorado",26183
287,".Montrose County, Colorado",42758
288,".Morgan County, Colorado",29068
289,".Otero County, Colorado",18278
290,".Ouray County, Colorado",4952
291,".Park County, Colorado",18845
292,".Phillips County, Colorado",4265
293,".Pitkin County, Colorado",17767
294,".Prowers County, Colorado",12172
295,".Pueblo County, Colorado",168424
296,".Rio Blanco County, Colorado",6324
297,".Rio Grande County, Colorado",11267
298,".Routt County, Colorado",25638
299,".Saguache County, Colorado",6824
300,".San Juan County, Colorado",728
301,".San Miguel County, Colorado",8179
302,".Sedgwick County, Colorado",2248
303,".Summit County, Colorado",31011
304,".Teller County, Colorado",25388
305,".Washington County, Colorado",4908
306,".Weld County, Colorado",324492
307,".Yuma County, Colorado",10019
308,".Fairfield County, Connecticut",943332
309,".Hartford County, Connecticut",891720
310,".Litchfield County, Connecticut",180333
311,".Middlesex County, Connecticut",162436
312,".New Haven County, Connecticut",854757
313,".New London County, Connecticut",265206
314,".Tolland County, Connecticut",150721
315,".Windham County, Connecticut",116782
316,".Kent County, Delaware",180786
317,".New Castle County, Delaware",558753
318,".Sussex County, Delaware",234225
319,".District of Columbia, District of Columbia",705749
320,".Alachua County, Florida",269043
321,".Baker County, Florida",29210
322,".Bay County, Florida",174705
323,".Bradford County, Florida",28201
324,".Brevard County, Florida",601942
325,".Broward County, Florida",1952778
326,".Calhoun County, Florida",14105
327,".Charlotte County, Florida",188910
328,".Citrus County, Florida",149657
329,".Clay County, Florida",219252
330,".Collier County, Florida",384902
331,".Columbia County, Florida",71686
332,".DeSoto County, Florida",38001
333,".Dixie County, Florida",16826
334,".Duval County, Florida",957755
335,".Escambia County, Florida",318316
336,".Flagler County, Florida",115081
337,".Franklin County, Florida",12125
338,".Gadsden County, Florida",45660
339,".Gilchrist County, Florida",18582
340,".Glades County, Florida",13811
341,".Gulf County, Florida",13639
342,".Hamilton County, Florida",14428
343,".Hardee County, Florida",26937
344,".Hendry County, Florida",42022
345,".Hernando County, Florida",193920
346,".Highlands County, Florida",106221
347,".Hillsborough County, Florida",1471968
348,".Holmes County, Florida",19617
349,".Indian River County, Florida",159923
350,".Jackson County, Florida",46414
351,".Jefferson County, Florida",14246
352,".Lafayette County, Florida",8422
353,".Lake County, Florida",367118
354,".Lee County, Florida",770577
355,".Leon County, Florida",293582
356,".Levy County, Florida",41503
357,".Liberty County, Florida",8354
358,".Madison County, Florida",18493
359,".Manatee County, Florida",403253
360,".Marion County, Florida",365579
361,".Martin County, Florida",161000
362,".Miami-Dade County, Florida",2716940
363,".Monroe County, Florida",74228
364,".Nassau County, Florida",88625
365,".Okaloosa County, Florida",210738
366,".Okeechobee County, Florida",42168
367,".Orange County, Florida",1393452
368,".Osceola County, Florida",375751
369,".Palm Beach County, Florida",1496770
370,".Pasco County, Florida",553947
371,".Pinellas County, Florida",974996
372,".Polk County, Florida",724777
373,".Putnam County, Florida",74521
374,".St. Johns County, Florida",264672
375,".St. Lucie County, Florida",328297
376,".Santa Rosa County, Florida",184313
377,".Sarasota County, Florida",433742
378,".Seminole County, Florida",471826
379,".Sumter County, Florida",132420
380,".Suwannee County, Florida",44417
381,".Taylor County, Florida",21569
382,".Union County, Florida",15237
383,".Volusia County, Florida",553284
384,".Wakulla County, Florida",33739
385,".Walton County, Florida",74071
386,".Washington County, Florida",25473
387,".Appling County, Georgia",18386
388,".Atkinson County, Georgia",8165
389,".Bacon County, Georgia",11164
390,".Baker County, Georgia",3038
391,".Baldwin County, Georgia",44890
392,".Banks County, Georgia",19234
393,".Barrow County, Georgia",83240
394,".Bartow County, Georgia",107738
395,".Ben Hill County, Georgia",16700
396,".Berrien County, Georgia",19397
397,".Bibb County, Georgia",153159
398,".Bleckley County, Georgia",12873
399,".Brantley County, Georgia",19109
400,".Brooks County, Georgia",15457
401,".Bryan County, Georgia",39627
402,".Bulloch County, Georgia",79608
403,".Burke County, Georgia",22383
404,".Butts County, Georgia",24936
405,".Calhoun County, Georgia",6189
406,".Camden County, Georgia",54666
407,".Candler County, Georgia",10803
408,".Carroll County, Georgia",119992
409,".Catoosa County, Georgia",67580
410,".Charlton County, Georgia",13392
411,".Chatham County, Georgia",289430
412,".Chattahoochee County, Georgia",10907
413,".Chattooga County, Georgia",24789
414,".Cherokee County, Georgia",258773
415,".Clarke County, Georgia",128331
416,".Clay County, Georgia",2834
417,".Clayton County, Georgia",292256
418,".Clinch County, Georgia",6618
419,".Cobb County, Georgia",760141
420,".Coffee County, Georgia",43273
421,".Colquitt County, Georgia",45600
422,".Columbia County, Georgia",156714
423,".Cook County, Georgia",17270
424,".Coweta County, Georgia",148509
425,".Crawford County, Georgia",12404
426,".Crisp County, Georgia",22372
427,".Dade County, Georgia",16116
428,".Dawson County, Georgia",26108
429,".Decatur County, Georgia",26404
430,".DeKalb County, Georgia",759297
431,".Dodge County, Georgia",20605
432,".Dooly County, Georgia",13390
433,".Dougherty County, Georgia",87956
434,".Douglas County, Georgia",146343
435,".Early County, Georgia",10190
436,".Echols County, Georgia",4006
437,".Effingham County, Georgia",64296
438,".Elbert County, Georgia",19194
439,".Emanuel County, Georgia",22646
440,".Evans County, Georgia",10654
441,".Fannin County, Georgia",26188
442,".Fayette County, Georgia",114421
443,".Floyd County, Georgia",98498
444,".Forsyth County, Georgia",244252
445,".Franklin County, Georgia",23349
446,".Fulton County, Georgia",1063937
447,".Gilmer County, Georgia",31369
448,".Glascock County, Georgia",2971
449,".Glynn County, Georgia",85292
450,".Gordon County, Georgia",57963
451,".Grady County, Georgia",24633
452,".Greene County, Georgia",18324
453,".Gwinnett County, Georgia",936250
454,".Habersham County, Georgia",45328
455,".Hall County, Georgia",204441
456,".Hancock County, Georgia",8457
457,".Haralson County, Georgia",29792
458,".Harris County, Georgia",35236
459,".Hart County, Georgia",26205
460,".Heard County, Georgia",11923
461,".Henry County, Georgia",234561
462,".Houston County, Georgia",157863
463,".Irwin County, Georgia",9416
464,".Jackson County, Georgia",72977
